"date","q1","q2","q3","id.miller","hh.maize.q6","hh.maize.q6a","hh.maize.q6b","hh.maize.q6c","hh.maize.q6d","hh.maize.q6e","hh.maize.other_q6e","hh.maize.q6f","hh.maize.q6g","hh.maize.q7","hh.maize.q8","hh.maize.q9","hh.maize.q10.a","hh.maize.q10.b","hh.maize.q10.c","hh.maize.q10.d","hh.maize.q10.e","hh.maize.q10.f","hh.maize.q10.g","hh.maize.q10.h","hh.maize.q10.96","hh.maize.other_q10","hh.maize.q11","hh.maize.q11b","hh.maize.q12","hh.maize.q13","hh.maize.q14.1","hh.maize.q14.2","hh.maize.q14.3","hh.maize.q15","hh.maize.q15b","hh.maize.q16a","hh.maize.q16b","hh.maize.q16c","hh.maize.q17a","hh.maize.q17b","hh.maize.q18a","hh.maize.q18b","hh.maize.q18c","hh.maize.q19a","hh.maize.q19b","hh.maize.q19c","hh.maize.q20","hh.maize.q21","hh.maize.q22.a","hh.maize.q22.b","hh.maize.q22.c","hh.maize.q22.96","hh.maize.q23","hh.maize.q23a","hh.maize.q24","hh.maize.q24b","hh.maize.q25.a","hh.maize.q25.b","hh.maize.q25.c","hh.maize.q25.d","hh.maize.q25.e","hh.maize.q25.f","hh.maize.q25.g","hh.maize.q25.h","hh.maize.q25.i","hh.maize.q25.j","hh.maize.q25.k","hh.maize.q25.96","hh.maize.other_q25","hh.maize.q26","hh.maize.q27","hh.maize.q28","hh.maize.other_q28","hh.maize.q29","hh.maize.q30","hh.maize.q31","hh.maize.q32","hh.maize.other_q32","hh.maize.q33","hh.maize.other_q33","hh.maize.q36","hh.maize.q37","hh.maize.q38","hh.maize.q39","hh.maize.q40","vilID","parID","subID","distID"
"7/24/2019","Yes","Yes","n/a","M021","a",4,0.1,1,3,1,"n/a","n/a",70,"Male","a","c",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a",80,"Yes","1/1/2014","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","30",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","100",TRUE,FALSE,FALSE,FALSE,"No","n/a","Yes","100",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a",1,1,"c","n/a","Yes","Yes","b","b","n/a","b","n/a",5,5,5,5,5,3,2,3,1
"7/24/2019","No","n/a","Yes","M022","c",0,0.3,0.4,3,4,"n/a","Yes",27,"Male","a","e",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a",90,"Yes","1/1/2015","No",TRUE,TRUE,TRUE,"55","75","20","15","10",100,0,"200","200","100","n/a","n/a","n/a","n/a","300",TRUE,FALSE,TRUE,FALSE,"No","n/a","Yes","100",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"n/a",1,1,"a","n/a","Yes","No","b","a","n/a","a","n/a",5,3,4,4,4,4,3,3,1
"7/24/2019","No","n/a","Yes","M023","b",0.1,999,0.25,10,96,"Operator","No",29,"Male","a","b",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",100,"No","1/1/2018","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","40",100,0,"n/a","n/a","80","n/a","n/a","n/a","n/a","200",TRUE,FALSE,FALSE,FALSE,"Yes","10","Yes","100",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a",1,1,"c","n/a","Yes","No","b","b","n/a","b","n/a",4,3,3,4,4,4,2,3,1
"7/24/2019","Yes","Yes","n/a","M024","a",1,0.1,0.2,5,1,"n/a","n/a",67,"Male","a","c",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a",50,"Yes","1/1/2017","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","20",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","200",FALSE,FALSE,TRUE,FALSE,"Yes","10","Yes","100",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a",1,1,"c","n/a","No","No","b","b","n/a","b","n/a",3,3,4,3,2,2,2,3,1
"7/24/2019","Yes","Yes","n/a","M025","b",3.5,0,1,3,1,"n/a","n/a",40,"Male","a","b",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a",70,"Yes","1/1/2015","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","60",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","999",TRUE,FALSE,FALSE,FALSE,"Yes","1","No","n/a",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,1,"c","n/a","No","No","b","b","n/a","b","n/a",5,3,3,5,4,2,3,3,1
"7/24/2019","Yes","Yes","n/a","M026","a",0.75,0,0.3,4,1,"n/a","n/a",72,"Male","a","f",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a",40,"Yes","1/1/2003","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","20",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","999",TRUE,FALSE,FALSE,FALSE,"Yes","10","Yes","100",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",1,999,"c","n/a","Yes","Yes","b","b","n/a","b","n/a",5,3,4,4,3,4,3,3,1
"7/24/2019","Yes","Yes","n/a","M027","b",2.5,0.1,0.2,3,1,"n/a","n/a",45,"Male","a","c",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a",80,"Yes","1/1/2004","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","40",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","200",TRUE,TRUE,FALSE,FALSE,"Yes","1","Yes","100",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,1,"c","n/a","Yes","No","b","b","n/a","b","n/a",5,4,3,5,5,2,3,3,1
"7/24/2019","Yes","Yes","n/a","M028","a",1.5,0,1.5,5,1,"n/a","n/a",36,"Male","a","e",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",80,"No","1/1/2009","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","30",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","999",TRUE,FALSE,FALSE,FALSE,"No","n/a","Yes","100",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,999,"c","n/a","No","No","b","b","n/a","b","n/a",4,5,4,4,3,5,3,3,1
"7/24/2019","Yes","Yes","n/a","M029","b",0.1,0.1,0.1,4,1,"n/a","n/a",42,"Male","a","c",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",70,"No","1/1/2007","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","20",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","100",TRUE,FALSE,FALSE,FALSE,"No","n/a","No","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a",1,1,"c","n/a","Yes","Yes","b","96","Bricks and mortar with plaster","a","n/a",5,5,5,5,5,1,1,3,1
"7/24/2019","No","n/a","Yes","M030","b",5,0.1,0.2,3,5,"n/a","No",45,"Female","b","a",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",50,"No","1/1/2017","No",FALSE,FALSE,TRUE,"n/a","n/a","n/a","n/a","20",100,0,"n/a","n/a","100","n/a","n/a","n/a","n/a","999",TRUE,FALSE,FALSE,FALSE,"No","n/a","No","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Nothing ",1,1,"c","n/a","No","No","b","b","n/a","b","n/a",3,5,5,5,5,1,3,3,1
