"maize.owner.dist","shop_ID"
43.3888737856794,"AD_104"
37.6698052689573,"AD_104"
44.7379705218344,"AD_104"
47.5016322954946,"AD_104"
43.5951879472716,"AD_104"
44.6448993625911,"AD_104"
45.2837272627352,"AD_104"
45.2531825207611,"AD_104"
44.7878343269833,"AD_104"
43.5146373573299,"AD_104"
43.6770750510734,"AD_104"
42.0905944389912,"AD_104"
38.008345932743,"AD_104"
37.8925376481388,"AD_104"
43.9370440902418,"AD_104"
44.9748619165537,"AD_104"
42.1352971788613,"AD_104"
41.3354557928891,"AD_104"
37.6468732468553,"AD_104"
47.7151150793018,"AD_104"
41.7633222336362,"AD_104"
43.4062627392134,"AD_104"
43.35602397202,"AD_104"
38.3693918695478,"AD_104"
37.8935309203902,"AD_104"
47.2310140313212,"AD_104"
43.6311602474545,"AD_104"
